N/A,META,,,,,SUMMARY,,,PLACE,,,,,,,,,,,,,,,,,,,,,ECONOMY,,,,,,,,,,,,,,,,,,,,,COMMUNITY,,,,,,,,,,,,,,,,,,,,
49,N/A,12086003602,Miami-Dade County,Florida,2018,46,52,40,48,60,37,52,3.5,0,69,-0.2,73.6,57,2.6,3.3,67,70.1,73.6,2,80.1,44,23,62.8,51.5,55,52,58,48,7,6.9,80,N/A,N/A,27,4.3,-17.7,77,3.1,4.8,51,38,39,45,23.8,22.7,34,43,26,55,4.6,14.1,31,N/A,N/A,6,84.2,59.2,25,42.6,47,50,24.8,24.7,25,87.1,82.4
50,N/A,12086003602,Miami-Dade County,Florida,2019,48,58,39,44,55,34,44,3.8,-2.4,66,19.3,77.9,57,2.6,3.3,54,70.8,71.6,2,81.1,45.8,23,61.9,50.3,57,57,57,72,14.8,33.9,41,N/A,N/A,57,11.2,12.9,77,3.1,4.8,50,39,39,45,23.8,22.7,44,62,26,58,8.8,20,65,N/A,N/A,8,84.9,63.7,29,42.7,46.2,57,24.9,27.7,12,88.3,80.9
51,N/A,12086003602,Miami-Dade County,Florida,2020,46,56,37,42,51,34,38,3.7,-5,64,35.9,90.2,57,2.6,3.3,50,71.2,71.2,2,82.1,47.3,28,60.9,52,44,44,45,23,8.9,-2.4,34,N/A,N/A,74,8.5,21.9,46,2.6,2.5,51,40,41,39,24.7,22.8,53,74,32,66,11.9,33.8,83,N/A,N/A,11,85.5,68,21,42.7,48.2,87,24.6,45.6,9,89.2,81.2
52,N/A,12086003602,Miami-Dade County,Florida,2021,46,58,33,32,30,34,30,1.4,-25.1,N/A,37.7,N/A,57,2.6,3.3,45,71.3,69.9,2,86.7,57.6,31,60.3,52.6,64,74,54,81,5.7,87.7,85,N/A,N/A,55,10.1,10.2,53,3.8,3.9,66,42,56,44,24.7,23.6,40,69,12,68,13.5,42.7,70,N/A,N/A,16,87,74.2,18,42.3,49.5,N/A,28.3,N/A,3,90.1,76.5
53,N/A,12086003602,Miami-Dade County,Florida,2022,44,53,34,32,30,35,30,0.2,-45.1,N/A,45.1,N/A,57,2.6,3.3,37,70.9,67.6,4,88.4,65.9,41,60,56.5,58,59,57,22,-15.2,-28.3,72,N/A,N/A,82,20.6,66.7,49,3.7,3.7,71,44,64,52,25.2,25.6,40,70,10,68,14.8,50.4,72,N/A,N/A,N/A,87.2,N/A,18,42.3,49.5,N/A,28.5,N/A,3,90,76.1
54,N/A,12086003602,Miami-Dade County,Florida,2023,42,44,39,30,31,28,31,-0.9,-64.7,N/A,66.9,N/A,57,2.6,3.3,17,69.9,59,3,89.9,67.7,34,60,53.6,48,46,50,76,35.2,89,39,N/A,N/A,22,-5.6,-72.3,31,2.8,1.9,71,44,64,48,24.4,24.1,47,54,40,67,17.7,54.7,40,N/A,N/A,N/A,86.7,N/A,20,42.5,49,97,29.4,87.4,2,90.3,75.4
55,N/A,12086003602,Miami-Dade County,Florida,2024,38,36,40,30,31,28,31,-0.9,-64.7,N/A,66.9,N/A,57,2.6,3.3,17,69.9,59,3,89.9,67.7,34,60,53.6,40,28,52,36,-6.7,-9.7,26,N/A,N/A,22,-5.6,-72.3,12,2.6,1.1,71,44,64,74,1.8,2.9,44,49,40,67,17.7,54.7,31,N/A,N/A,N/A,86.7,N/A,20,42.5,49,97,29.4,87.4,2,90.3,75.4
56,N/A,40109104700,Oklahoma County,Oklahoma,2017,48,45,50,47,34,60,66,1.9,16.9,1,6,-100,91,1.2,10.1,100,81.9,96.7,6,70.9,51.9,41,76.8,73.8,46,47,45,40,5.1,3.3,62,N/A,N/A,40,1.6,0,80,4.9,8.1,12,45,16,42,18.8,17.5,50,53,46,65,4.3,25.3,41,N/A,N/A,6,81.1,56.9,15,42.3,47.5,79,24.7,34.4,84,84.4,90.8
57,N/A,40109104700,Oklahoma County,Oklahoma,2018,50,48,51,44,30,59,60,1.6,10,0,9.6,-100,91,1.2,10.1,99,82.3,94.6,6,70.9,51.9,41,76.6,73.6,48,49,48,40,5.1,3.3,64,N/A,N/A,43,2.9,5,80,4.9,8.1,21,44,21,42,18.8,17.5,55,64,46,67,5,34.7,60,N/A,N/A,12,81.2,63.2,9,42.5,50.3,80,24.4,34.9,81,85.5,90.6
58,N/A,40109104700,Oklahoma County,Oklahoma,2019,48,46,49,43,28,58,55,1.1,6.5,0,11.5,-100,91,1.2,10.1,98,82.4,92.1,4,72.6,50.9,39,76.2,73.1,51,51,51,55,13.5,19.4,25,N/A,N/A,72,1.8,61.9,80,4.9,8.1,32,41,27,42,18.8,17.5,48,58,39,66,7.3,27.2,51,N/A,N/A,18,81.4,69.4,9,42.5,50.3,69,24.6,30.2,60,86.2,87.9
59,N/A,40109104700,Oklahoma County,Oklahoma,2020,38,33,43,35,12,58,25,0.4,-2.2,0,15.4,-100,91,1.2,10.1,98,82.5,91.8,4,73.9,53,40,75.7,72.3,37,24,50,22,6.4,-2.7,17,N/A,N/A,33,12.4,2.9,69,4.1,5.6,36,38,28,44,19.3,18,42,64,20,55,8.7,16.2,74,N/A,N/A,18,81.6,70.5,8,42.5,51.3,23,24.4,16.1,31,86.7,83.7
60,N/A,40109104700,Oklahoma County,Oklahoma,2021,39,39,39,38,15,62,15,-0.9,-8.4,N/A,10.9,N/A,91,1.2,10.1,97,83.2,92.6,1,81.1,49.2,58,75.2,77.9,48,54,41,72,4.5,25,56,N/A,N/A,34,15.2,5.7,74,5.9,8.9,2,37,3,47,19.1,18.4,30,48,13,11,9.5,0.1,84,N/A,N/A,31,82.6,77.1,7,41.7,52.8,N/A,24.4,N/A,0,86.6,67.1
61,N/A,40109104700,Oklahoma County,Oklahoma,2022,32,29,35,40,23,58,23,-1.9,-5.6,N/A,14.4,N/A,91,1.2,10.1,85,82.6,88.3,1,83.3,57,55,74.6,76,30,22,38,25,-10,-20,21,N/A,N/A,20,14.4,-8.1,71,5.7,8.3,1,37,1,41,19.4,17.5,26,42,9,7,10.5,-3.6,78,N/A,N/A,25,82.7,74.5,2,41.9,58.8,N/A,25,N/A,0,86.5,67
62,N/A,40109104700,Oklahoma County,Oklahoma,2023,33,35,31,44,40,49,40,-2,-0.7,N/A,29.7,N/A,91,1.2,10.1,67,81.8,84.3,1,85.1,54.7,37,74.4,69.4,38,37,38,22,28.6,5.6,69,N/A,N/A,19,-10.3,-41.2,63,4.3,5.3,1,37,1,49,18.5,18.3,17,28,6,8,12.8,-2.9,47,N/A,N/A,12,82.7,66.1,7,42.1,52,N/A,24.3,N/A,0,87,64.6
63,N/A,40109104700,Oklahoma County,Oklahoma,2024,29,29,29,44,40,49,40,-2,-0.7,N/A,29.7,N/A,91,1.2,10.1,67,81.8,84.3,1,85.1,54.7,37,74.4,69.4,32,32,31,62,-4.1,2.6,16,N/A,N/A,19,-10.3,-41.2,63,4.1,5.1,1,37,1,30,1.1,0.7,10,15,6,8,12.8,-2.9,22,N/A,N/A,12,82.7,66.1,7,42.1,52,N/A,24.3,N/A,0,87,64.6
64,N/A,06011000100,Colusa County,California,2017,52,53,50,43,58,28,37,2.5,-2.4,80,5.8,36.1,5,3.2,0.3,63,64,66.4,21,84.5,73.2,24,58.2,49.5,58,46,70,26,4.9,-4.9,67,N/A,N/A,46,2.4,1.4,97,4.4,12.5,42,47,39,N/A,N/A,N/A,52,54,51,70,2.9,13.8,37,N/A,N/A,51,84.8,85.1,64,41.5,39.7,29,23.1,16.4,61,89.7,91.3
65,N/A,06011000100,Colusa County,California,2018,48,46,50,43,55,31,40,2.3,-1.5,70,16,32.5,5,3.2,0.3,69,64.7,68.4,21,84.5,73.2,29,57.4,50.4,44,21,68,26,4.9,-4.9,15,N/A,N/A,21,-2.9,-22.5,97,4.4,12.5,38,48,36,N/A,N/A,N/A,57,63,51,75,6,23.8,51,N/A,N/A,51,85.3,85.6,48,41.8,42,35,23.4,18.5,70,91.3,93.9
66,N/A,06011000100,Colusa County,California,2019,53,56,50,50,64,36,50,1.8,0.6,77,34,70.2,5,3.2,0.3,80,65.1,71.3,26,85.5,77.1,32,56.6,50.5,52,37,67,24,13.2,2.6,40,N/A,N/A,46,11.2,10.9,97,4.4,12.5,37,49,36,N/A,N/A,N/A,56,66,46,78,10.5,41.1,55,N/A,N/A,49,85.9,85.4,26,41.8,45.4,41,23.7,20.4,68,93,94.9
67,N/A,06011000100,Colusa County,California,2020,55,61,49,54,68,39,69,1.4,4.8,68,42.8,62,5,3.2,0.3,84,65.2,72.6,27,86.5,79.1,41,55.6,52.6,63,62,64,43,3.5,2.5,66,N/A,N/A,77,7.4,45.9,95,3.9,9.8,32,51,32,N/A,N/A,N/A,48,54,43,55,14.6,18.2,54,N/A,N/A,44,86.5,84.8,24,42,46.1,45,24,22.2,59,94.3,95.1
68,N/A,06011000100,Colusa County,California,2021,47,46,48,58,73,42,73,-0.2,5.1,73,41.6,75.3,5,3.2,0.3,83,65.5,73.4,20,90.3,82.3,58,55.3,58.1,50,34,65,21,4.6,-7.3,37,N/A,N/A,43,-0.5,-3.4,93,5.5,13.2,37,50,38,N/A,N/A,N/A,34,30,37,32,16.6,10.5,27,N/A,N/A,40,88,85.5,30,41.7,45,33,25.9,19.6,46,95.5,95.1
69,N/A,06011000100,Colusa County,California,2022,44,44,44,43,48,38,69,-0.8,3.8,28,42.6,-7.6,5,3.2,0.3,74,65.2,70.5,13,91.7,82,62,56,60.4,52,46,59,74,-14,28.9,22,N/A,N/A,43,19.5,16.3,74,5.6,8.2,44,49,43,N/A,N/A,N/A,37,38,36,16,17.5,-0.5,61,N/A,N/A,42,88.3,86.4,30,41.8,45,45,25.4,23.6,27,95.5,93.1
70,N/A,06011000100,Colusa County,California,2023,39,33,45,46,52,41,57,-1.6,-1,46,56.3,42.9,5,3.2,0.3,81,64.5,72.1,14,92.6,84.3,63,56.5,61.7,44,28,61,37,27.3,20.4,23,N/A,N/A,23,-5.5,-30,78,4.3,6.8,44,49,43,N/A,N/A,N/A,26,20,32,27,19.6,9.9,14,N/A,N/A,71,88.3,92.4,25,42.1,46.3,7,25.6,8.1,24,95.6,92.7
71,N/A,06011000100,Colusa County,California,2024,42,39,46,46,52,41,57,-1.6,-1,46,56.3,42.9,5,3.2,0.3,81,64.5,72.1,14,92.6,84.3,63,56.5,61.7,44,22,66,18,-5.8,-16.9,26,N/A,N/A,23,-5.5,-30,88,4,8.2,44,49,43,N/A,N/A,N/A,37,42,32,27,19.6,9.9,58,N/A,N/A,71,88.3,92.4,25,42.1,46.3,7,25.6,8.1,24,95.6,92.7
72,N/A,17031070101,Cook County,Illinois,2017,53,42,64,50,32,67,35,0,-3.6,30,-7.9,-47.3,90,5,18.7,58,73.2,75.5,77,78.3,86.8,43,55.1,52.1,56,46,65,39,2.9,-3.3,35,N/A,N/A,63,5.3,8.6,63,4.4,5.3,97,52,99,34,18.6,15.9,55,49,61,40,3.4,-7.8,58,N/A,N/A,54,85,86.3,6,41.5,53.4,100,28.8,100,85,91.9,96.4
73,N/A,17031070101,Cook County,Illinois,2018,49,35,63,46,30,61,29,-0.2,-5.9,30,-5.4,-48.6,90,5,18.7,45,74.1,72.9,77,78.3,86.8,32,54.9,46.8,52,39,65,39,2.9,-3.3,36,N/A,N/A,43,0,-11.4,63,4.4,5.3,97,51,99,34,18.6,15.9,50,36,64,36,5.7,-9.8,37,N/A,N/A,54,85.3,86.4,12,41.8,50.1,100,28.5,100,91,93.1,97.6
74,N/A,17031070101,Cook County,Illinois,2019,51,42,60,40,28,52,24,-0.5,-8.5,31,1.6,-32.4,90,5,18.7,28,75.1,69.8,71,79.3,85.9,20,54.6,40,62,60,65,78,11.1,29.3,35,N/A,N/A,67,10.7,17.9,63,4.4,5.3,97,51,99,34,18.6,15.9,50,38,62,34,9,-12.5,43,N/A,N/A,44,85.7,84.1,14,41.9,49.4,99,28.2,80.9,91,94.1,98
75,N/A,17031070101,Cook County,Illinois,2020,46,33,60,42,35,48,40,-0.8,-3.1,30,7.8,-36.8,90,5,18.7,20,75.5,68.3,70,80.3,86.3,14,54,35.2,54,33,75,25,5.7,-12,36,N/A,N/A,37,7.7,-10.9,88,3.8,7.6,96,51,98,40,18.7,16.9,44,30,58,34,11.7,-8,25,N/A,N/A,39,86.3,82.9,9,42,51.8,97,28.6,63.2,86,95,97.8
76,N/A,17031070101,Cook County,Illinois,2021,50,53,47,45,48,42,65,-1.4,2.1,31,11.2,-36.3,90,5,18.7,11,76.8,64.9,59,85.4,87.7,6,54.7,28.7,60,55,65,70,4.8,12.1,37,N/A,N/A,59,7.9,8.5,63,5.6,6.8,94,50,96,39,18.7,16.7,46,56,35,43,12.9,3.3,70,N/A,N/A,22,87.3,77.3,2,41.6,59.5,35,28.8,22.6,81,95.6,97.9
77,N/A,17031070101,Cook County,Illinois,2022,54,55,52,54,64,45,72,-1.2,5.6,55,15.5,9.5,90,5,18.7,20,76.7,68.8,62,87.1,89.6,8,55.9,32.2,60,49,72,36,-13.1,-23,74,N/A,N/A,37,19.1,-2.2,78,5.6,8.8,96,50,98,41,18.8,17.5,46,53,38,78,13.4,18.7,28,N/A,N/A,41,87.4,84.8,3,41.6,57.6,24,28.6,18.3,83,95.4,98
78,N/A,17031070101,Cook County,Illinois,2023,61,69,53,60,71,48,77,-1.2,9.7,65,29.6,33.8,90,5,18.7,32,76.3,71.4,64,88.6,91.3,4,56.3,28.8,69,66,72,80,24.6,61.4,33,N/A,N/A,85,-12.5,19.5,76,4.2,6.5,96,50,98,44,18.3,17.5,55,71,39,88,14.9,28.1,54,N/A,N/A,47,87.6,86.7,2,41.7,59.3,21,28.9,17.5,85,95.5,98.3
79,N/A,17031070101,Cook County,Illinois,2024,57,60,54,60,71,48,77,-1.2,9.7,65,29.6,33.8,90,5,18.7,32,76.3,71.4,64,88.6,91.3,4,56.3,28.8,64,52,75,42,-3.7,-7.6,30,N/A,N/A,85,-12.5,19.5,61,3.8,4.7,96,50,98,69,1.1,1.5,48,56,39,88,14.9,28.1,23,N/A,N/A,47,87.6,86.7,2,41.7,59.3,21,28.9,17.5,85,95.5,98.3
80,N/A,22071003500,Orleans Parish,Louisiana,2017,31,42,20,38,42,35,23,1.6,-2.3,60,4.2,27.5,53,1.1,1.2,26,80.1,75.1,7,68.3,44.3,54,69.8,71.2,22,29,14,13,3.4,-9.1,65,N/A,N/A,9,20.6,-15.8,N/A,N/A,N/A,23,36,15,5,19.4,8.5,32,54,11,78,3.4,45.4,29,N/A,N/A,26,77.2,66.3,9,45.1,53.2,1,26.2,0,7,85.2,75.5
81,N/A,22071003500,Orleans Parish,Louisiana,2018,34,48,21,43,48,38,36,0.9,1.2,60,7.4,35.6,53,1.1,1.2,51,80.5,80.6,7,68.3,44.3,41,69.4,65.6,20,30,10,13,3.4,-9.1,13,N/A,N/A,64,-1.8,31.2,N/A,N/A,N/A,14,34,10,5,19.4,8.5,41,66,16,69,3.5,17.2,64,N/A,N/A,22,77,63.9,5,45.5,55.4,25,26,16.7,11,86.5,79.3
82,N/A,22071003500,Orleans Parish,Louisiana,2019,28,31,24,38,37,38,49,0.5,5.3,25,11.3,-0.6,53,1.1,1.2,58,80.5,81.6,8,69.8,46.9,34,69.1,62.5,22,38,6,57,13,30,51,N/A,N/A,7,2.2,-33.3,N/A,N/A,N/A,7,31,5,5,19.4,8.5,24,19,29,27,5.3,-2,11,N/A,N/A,17,77.4,61.4,4,45.3,56.8,79,25.5,37.7,17,88.3,83.2
83,N/A,22071003500,Orleans Parish,Louisiana,2020,33,40,26,46,54,38,63,0.1,13.3,44,18.3,24,53,1.1,1.2,56,80.2,81.2,7,71.6,47.6,37,68.5,63.5,30,54,6,60,9.4,30.8,59,N/A,N/A,43,16.2,21.4,N/A,N/A,N/A,2,29,2,9,19.8,10.2,24,12,35,15,7.4,-12,10,N/A,N/A,12,77.8,57.6,6,45.5,55.9,95,24.9,57.1,27,89.8,87.1
84,N/A,22071003500,Orleans Parish,Louisiana,2021,38,47,28,51,62,40,61,-3.4,11.3,63,6.4,52.6,53,1.1,1.2,47,81,80.3,5,79,51.3,57,69.2,71.5,26,47,4,68,3.7,47.1,10,N/A,N/A,63,12,47.1,N/A,N/A,N/A,1,29,1,8,20.2,10.2,36,32,41,16,9.2,-9.3,48,N/A,N/A,8,79.2,53.8,8,44.5,55.1,100,28.4,100,48,92.6,92.4
85,N/A,22071003500,Orleans Parish,Louisiana,2022,32,34,29,52,66,39,64,-3.7,17.3,67,11,78.2,53,1.1,1.2,42,79.7,78.2,11,80.9,62.9,51,68.9,69.2,7,8,6,7,-11.9,-32,11,N/A,N/A,5,17.2,-24,N/A,N/A,N/A,2,28,1,10,20,11.2,36,28,43,39,9.8,7.3,18,N/A,N/A,9,78.9,52.8,10,45.1,54.7,99,29.4,95.2,53,92.9,93.2
86,N/A,22071003500,Orleans Parish,Louisiana,2023,44,57,30,58,64,51,62,-4,13,67,25.2,101.6,53,1.1,1.2,72,78.6,83.5,17,83.2,68.9,63,68.7,74.5,29,50,8,17,25,5.9,64,N/A,N/A,69,-12.9,105.3,N/A,N/A,N/A,2,28,1,14,19.8,12.1,44,57,32,72,12.6,39,42,N/A,N/A,9,79.2,52.9,8,45,55.2,84,29.3,53.9,28,93.2,90.8
87,N/A,22071003500,Orleans Parish,Louisiana,2024,44,60,29,58,64,51,62,-4,13,67,25.2,101.6,53,1.1,1.2,72,78.6,83.5,17,83.2,68.9,63,68.7,74.5,32,59,4,55,-3.9,5.6,53,N/A,N/A,69,-12.9,105.3,N/A,N/A,N/A,2,28,1,7,0.9,0.2,44,57,32,72,12.6,39,42,N/A,N/A,9,79.2,52.9,8,45,55.2,84,29.3,53.9,28,93.2,90.8
88,N/A,36061013300,New York County,New York,2017,62,63,60,57,56,58,26,0.8,-15.8,87,-0.3,66.3,65,4.5,7.1,50,68.1,68.1,60,80.6,83.2,57,49.7,55.3,72,62,81,70,3.7,5.6,55,N/A,N/A,61,5.6,2,60,3.4,4.1,95,54,96,89,17.9,27.9,56,71,42,80,4,9.8,62,N/A,N/A,44,85.4,83.4,23,42.8,47.6,72,24.8,33.7,30,93.6,91.3
89,N/A,36061013300,New York County,New York,2018,62,64,60,57,58,56,27,0.6,-11.8,89,3.1,156,65,4.5,7.1,47,68.6,67.3,60,80.6,83.2,53,49.3,51.3,73,65,81,70,3.7,5.6,59,N/A,N/A,66,2,2.7,60,3.4,4.1,95,54,96,89,17.9,27.9,56,68,43,81,5.6,12.6,54,N/A,N/A,37,85.5,80.8,18,43,48.9,90,24.9,46.7,26,94.4,91.9
90,N/A,36061013300,New York County,New York,2019,63,66,60,66,76,56,62,0.1,1,89,8.9,199.2,65,4.5,7.1,45,68.9,67.1,58,81.4,83.6,54,48.7,51.2,68,55,81,40,10.8,-4.2,59,N/A,N/A,66,7.3,7.9,60,3.4,4.1,95,54,96,89,17.9,27.9,54,67,42,83,8.6,16.9,51,N/A,N/A,32,85.8,79.1,13,43.2,50.9,94,24.8,51,27,95.2,93.1
91,N/A,36061013300,New York County,New York,2020,62,64,61,72,88,56,88,-0.4,13.5,89,15.7,293.6,65,4.5,7.1,43,69.3,67,59,82.4,84.6,57,47.8,53.4,66,43,88,40,6.9,-8.5,34,N/A,N/A,54,10.3,2.8,75,3.2,4.8,96,54,97,93,18.2,30.6,50,62,39,92,11.6,29.4,32,N/A,N/A,30,86.2,78.4,5,43.3,55.4,91,24.7,46.8,31,95.9,94.4
92,N/A,36061013300,New York County,New York,2021,72,83,61,76,90,62,90,-1.4,23.4,90,18,417.1,65,4.5,7.1,45,70.7,68.9,70,86.7,90.5,66,48.3,61,79,79,79,98,4.5,73.8,70,N/A,N/A,69,5.4,9.2,47,4.4,4.2,98,53,98,93,18.2,30.8,62,81,42,96,13.3,41,66,N/A,N/A,40,87.4,84.4,2,43,60.3,91,27.2,55.6,35,96.8,95.7
93,N/A,36061013300,New York County,New York,2022,69,79,59,74,89,58,90,-0.9,22.3,88,22.5,169.2,65,4.5,7.1,42,70.4,67.9,60,88.4,90.2,67,49.4,62.6,76,69,84,59,-14.7,-18.1,98,N/A,N/A,50,18.6,5.3,61,4.4,5.4,97,51,97,93,18.3,30.8,56,78,35,96,14.1,47.9,60,N/A,N/A,43,87.4,85.7,2,42.8,60.3,N/A,27.5,N/A,59,96.9,97.4
94,N/A,36061013300,New York County,New York,2023,66,75,56,73,84,62,86,-0.1,13.1,83,37.3,101.7,65,4.5,7.1,39,69.9,66.5,75,89.7,93.7,70,49.4,65.4,76,71,81,56,25.8,17.3,81,N/A,N/A,75,-10.9,-3.8,53,3.4,3.6,97,51,97,93,18.3,30.8,48,71,25,91,16,37.1,51,N/A,N/A,46,87.4,86.3,2,43.1,59.8,N/A,28.4,N/A,28,97,95.2
95,N/A,36061013300,New York County,New York,2024,67,79,55,73,84,62,86,-0.1,13.1,83,37.3,101.7,65,4.5,7.1,39,69.9,66.5,75,89.7,93.7,70,49.4,65.4,78,79,78,76,-5.6,-2.2,85,N/A,N/A,75,-10.9,-3.8,44,3.3,3,97,51,97,93,0.9,3.1,50,75,25,91,16,37.1,59,N/A,N/A,46,87.4,86.3,2,43.1,59.8,N/A,28.4,N/A,28,97,95.2
96,N/A,48113016406,Dallas County,Texas,2017,42,42,42,36,38,33,66,3.8,7.8,11,9.3,-36.4,57,1.8,2.3,25,77.8,73.3,28,76.2,65.2,21,65.4,51.7,48,48,47,13,6,-21,73,N/A,N/A,57,8.1,23.1,91,6.7,13,27,51,29,24,22.1,16.4,44,41,46,24,4.4,-2.5,58,N/A,N/A,42,81.8,78.8,86,41.8,35.8,20,22.3,13.2,36,83.4,80.5
97,N/A,48113016406,Dallas County,Texas,2018,40,38,43,38,40,35,70,3.5,9.5,11,16.1,-37.2,57,1.8,2.3,32,78.1,74.9,28,76.2,65.2,22,64.9,51.6,46,41,50,13,6,-21,67,N/A,N/A,42,2.3,3.1,91,6.7,13,35,50,36,24,22.1,16.4,38,32,45,15,5.9,-5.9,49,N/A,N/A,38,82.3,77.5,82,41.9,36.8,18,22.1,12.2,41,84.4,82.6
98,N/A,48113016406,Dallas County,Texas,2019,38,32,43,40,46,35,77,3.2,13,15,22.7,-14.1,57,1.8,2.3,29,78,74.4,32,77.5,69.1,23,64.5,51.5,40,28,52,34,15.2,10.2,25,N/A,N/A,26,8,-3,91,6.7,13,41,49,41,24,22.1,16.4,32,22,42,15,8.4,-4.8,29,N/A,N/A,38,82.9,78.1,77,42,37.6,22,21.8,13.2,30,85.3,81.5
99,N/A,48113016406,Dallas County,Texas,2020,39,35,43,39,42,36,68,3,7.9,15,29.4,-9.7,57,1.8,2.3,32,77.7,74.5,32,78.8,70.7,23,63.9,51.1,36,23,50,26,7.4,0,25,N/A,N/A,18,12.1,-6.2,81,5.9,9.3,46,48,44,22,22.6,16.5,41,40,42,21,10.3,1.6,58,N/A,N/A,38,83.6,79.1,76,42,37.8,23,21.7,13.1,30,86,82.2
100,N/A,48113016406,Dallas County,Texas,2021,50,42,59,50,45,54,54,-0.9,-0.7,36,21.6,11.9,57,1.8,2.3,73,77.6,82.1,48,85.1,84.5,39,63.5,58.5,54,47,60,65,5,14.8,26,N/A,N/A,51,8.7,16.7,95,11.5,24.2,59,46,55,25,22.6,17.1,50,35,64,56,11.1,18.3,14,N/A,N/A,65,85.1,89.5,76,41.2,37,86,24,44.8,28,86.1,81.4
101,N/A,48113016406,Dallas County,Texas,2022,48,45,50,42,43,40,43,-2.8,-8.9,43,26.4,26.8,57,1.8,2.3,22,76.9,70.2,41,87,84.2,41,63.7,59.9,52,46,58,52,-13.2,-9.7,18,N/A,N/A,68,15.2,57.1,92,12.6,25,52,47,49,31,23.1,19,48,46,51,66,11.7,27.5,25,N/A,N/A,59,85.3,87.9,65,41.3,38.7,45,24.1,22.4,34,85.6,82.2
102,N/A,48113016406,Dallas County,Texas,2023,51,52,50,41,48,34,40,-4.5,-14.3,56,44,73.5,57,1.8,2.3,13,75.6,65.2,36,88.4,84.6,28,63.9,54,58,58,57,27,30,12.5,79,N/A,N/A,67,-8.8,23.6,84,11,17.5,52,47,49,34,22.6,19.2,54,49,60,66,14.3,32.7,32,N/A,N/A,68,85.4,90.4,68,41.5,38.6,46,24.8,23.1,56,85.5,86.7
103,N/A,48113016406,Dallas County,Texas,2024,53,59,47,41,48,34,40,-4.5,-14.3,56,44,73.5,57,1.8,2.3,13,75.6,65.2,36,88.4,84.6,28,63.9,54,55,63,47,47,-5.2,-4.8,75,N/A,N/A,67,-8.8,23.6,86,11,18.3,52,47,49,4,1.3,0.2,63,66,60,66,14.3,32.7,67,N/A,N/A,68,85.4,90.4,68,41.5,38.6,46,24.8,23.1,56,85.5,86.7
